Base_Price,Season,Day_Type,Local_Event,Room_Type,Competitor_Demand,Optimal_Price
87.09,Winter,Weekday,No,Standard,Low,93.68
166.59,Spring,Weekend,No,Standard,Low,171.1
195.15,Autumn,Weekday,No,Standard,High,245.97
156.6,Summer,Weekend,Yes,Standard,Medium,244.63
166.96,Winter,Weekday,No,Standard,High,233.81
138.75,Winter,Weekday,No,Standard,Medium,173.06
149.31,Winter,Weekday,No,Standard,High,210.37
75.16,Summer,Weekday,No,Standard,Medium,89.49
165.84,Summer,Weekday,No,Suite,Medium,255.52
82.22,Summer,Weekday,No,Suite,High,149.51
135.25,Spring,Weekend,Yes,Suite,Medium,248.46
113.9,Winter,Weekday,No,Standard,Low,124.45
151.81,Winter,Weekday,No,Standard,Low,171.12
90.01,Winter,Weekday,No,Suite,Low,133.98
173.75,Winter,Weekend,No,Standard,Low,220.21
189.25,Autumn,Weekday,Yes,Standard,Medium,257.89
94.5,Winter,Weekday,No,Standard,Medium,125.33
85.65,Winter,Weekday,No,Standard,Medium,107.44
91.83,Winter,Weekday,No,Standard,Medium,112.2
201.57,Spring,Weekday,Yes,Standard,Medium,270.98
149.23,Summer,Weekday,No,Standard,Low,164.84
140.09,Spring,Weekday,No,Standard,Low,139.23
86.01,Winter,Weekend,No,Standard,Low,101.85
167.43,Autumn,Weekday,No,Suite,Medium,250.59
200.2,Spring,Weekday,No,Standard,Low,182.54
194.23,Autumn,Weekday,No,Standard,Low,191.54
163.91,Autumn,Weekend,Yes,Suite,Medium,297.35
81.29,Summer,Weekday,No,Standard,High,106.32
86.86,Spring,Weekend,Yes,Standard,Low,108.95
77.4,Autumn,Weekday,No,Standard,Medium,87.78
108.62,Summer,Weekday,No,Standard,Medium,131.04
90.35,Winter,Weekday,Yes,Standard,High,153.52
109.01,Summer,Weekend,No,Suite,High,204.69
127.76,Winter,Weekday,Yes,Standard,Low,177.43
211.45,Autumn,Weekend,No,Standard,Low,236.96
161.56,Autumn,Weekend,No,Standard,High,226.23
195.25,Winter,Weekday,Yes,Standard,Medium,293.86
176.55,Summer,Weekday,No,Standard,Medium,222.61
86.88,Spring,Weekday,No,Standard,Medium,91.41
180.39,Spring,Weekday,No,Standard,Medium,198.46
111.26,Winter,Weekend,Yes,Standard,High,205.45
165.87,Autumn,Weekend,No,Standard,High,232.39
121.14,Autumn,Weekday,No,Standard,Medium,130.9
219.65,Spring,Weekday,No,Suite,Low,275.28
109.53,Spring,Weekend,Yes,Standard,High,179.44
111.87,Spring,Weekday,Yes,Standard,Low,130.21
209.6,Summer,Weekend,No,Standard,Low,249.74
73.7,Autumn,Weekday,No,Standard,High,96.63
174.5,Summer,Weekday,No,Standard,Low,189.5
178.8,Summer,Weekday,No,Standard,Low,192.43
195.46,Winter,Weekday,No,Suite,Low,286.49
216.17,Summer,Weekday,No,Suite,High,370.56
216.34,Summer,Weekday,No,Standard,Medium,269.53
79.79,Winter,Weekday,No,Standard,Medium,104.35
193.28,Summer,Weekend,No,Suite,Low,296.62
166.95,Autumn,Weekend,No,Suite,High,294.82
167.1,Winter,Weekday,No,Suite,High,295.25
89.25,Winter,Weekday,No,Standard,Medium,110.83
167.53,Spring,Weekday,No,Standard,Medium,177.9
217.37,Winter,Weekday,No,Standard,Low,239.54
206.77,Summer,Weekday,No,Standard,High,282.19
135.87,Summer,Weekday,No,Standard,Medium,172.05
75.99,Summer,Weekday,Yes,Standard,High,119.88
124.34,Winter,Weekday,No,Suite,Medium,203.43
193.96,Summer,Weekday,No,Standard,High,263.1
175.22,Summer,Weekday,No,Suite,High,300.34
138.9,Autumn,Weekend,No,Standard,Medium,167.58
78.27,Spring,Weekday,No,Standard,High,94.61
134.03,Spring,Weekday,Yes,Standard,Medium,177.49
140.35,Spring,Weekday,No,Suite,Low,180.41
209.28,Spring,Weekday,No,Standard,Medium,226.92
166.16,Spring,Weekend,No,Standard,Medium,194.6
116.75,Spring,Weekday,No,Suite,Medium,171.29
148.8,Autumn,Weekend,No,Standard,Low,163.03
79.91,Spring,Weekday,No,Standard,Medium,87.1
215.89,Summer,Weekday,No,Standard,Medium,265.51
124.01,Winter,Weekend,Yes,Standard,Medium,202.55
141.68,Summer,Weekday,No,Standard,Medium,175.14
123.29,Autumn,Weekday,No,Standard,Medium,141.22
172.38,Spring,Weekday,No,Standard,Low,151.6
169.33,Spring,Weekday,No,Standard,Medium,180.72
177.3,Spring,Weekend,Yes,Standard,Low,227.7
110.22,Spring,Weekday,No,Standard,Low,102.43
117.35,Summer,Weekday,Yes,Standard,High,194.88
88.79,Spring,Weekday,No,Standard,High,105.24
168.33,Spring,Weekday,No,Standard,Medium,179.8
75.97,Spring,Weekday,Yes,Standard,High,109.63
159.65,Summer,Weekday,No,Standard,High,215.51
200.45,Spring,Weekday,Yes,Suite,High,363.43
203.62,Summer,Weekend,No,Standard,Low,245.39
137.36,Summer,Weekday,No,Suite,High,232.04
138.9,Autumn,Weekday,Yes,Suite,Medium,242.01
81.55,Spring,Weekend,No,Standard,Medium,91.05
170.61,Winter,Weekday,Yes,Standard,Low,231.49
193.19,Autumn,Weekday,No,Standard,Medium,216.99
106.7,Spring,Weekday,No,Suite,Low,142.21
133.2,Winter,Weekday,No,Standard,Low,148.08
195.83,Winter,Weekday,Yes,Standard,Medium,290.81
201.57,Spring,Weekend,No,Standard,High,262.11
106.48,Summer,Weekday,No,Suite,High,183.28
152.59,Winter,Weekday,No,Suite,Medium,251.18
98.87,Autumn,Weekend,No,Standard,High,138.93
85.28,Spring,Weekday,No,Standard,High,104.71
206.67,Spring,Weekday,No,Standard,High,256.79
193.08,Summer,Weekday,No,Standard,Low,204.44
184.01,Summer,Weekend,No,Suite,Medium,316.4
77.31,Autumn,Weekday,No,Standard,High,91.66
196.56,Summer,Weekday,No,Standard,Medium,238.15
135.71,Summer,Weekday,Yes,Standard,Medium,193.62
121.36,Autumn,Weekday,No,Suite,Medium,178.51
151.97,Spring,Weekday,No,Suite,Medium,217.13
83.7,Summer,Weekday,No,Standard,Medium,103.41
183.5,Autumn,Weekend,No,Suite,Low,264.49
157.37,Winter,Weekday,No,Standard,Medium,197.72
97.99,Summer,Weekday,Yes,Standard,High,157.98
98.23,Summer,Weekend,Yes,Standard,High,164.93
97.64,Spring,Weekend,No,Standard,Low,107.0
78.55,Summer,Weekday,No,Standard,High,106.4
158.17,Summer,Weekday,No,Suite,Medium,247.95
196.05,Spring,Weekday,No,Standard,Medium,218.09
72.62,Summer,Weekend,No,Standard,High,103.23
77.35,Summer,Weekend,No,Standard,High,110.75
155.92,Spring,Weekday,No,Standard,High,185.84
192.92,Summer,Weekend,Yes,Suite,Medium,375.92
119.01,Spring,Weekday,No,Standard,High,146.92
122.44,Summer,Weekday,No,Standard,Low,133.97
159.45,Spring,Weekday,Yes,Suite,Medium,278.16
111.13,Winter,Weekend,No,Standard,Medium,146.58
73.99,Autumn,Weekday,No,Standard,Medium,86.04
180.28,Autumn,Weekend,No,Standard,Low,194.28
163.85,Winter,Weekend,No,Standard,High,249.98
157.11,Summer,Weekend,No,Suite,Low,239.47
181.25,Spring,Weekday,No,Suite,Low,226.55
171.28,Summer,Weekday,No,Standard,Medium,217.41
100.88,Autumn,Weekday,No,Suite,Medium,152.67
122.87,Autumn,Weekday,Yes,Standard,High,186.86
88.92,Summer,Weekday,No,Standard,Medium,114.78
89.48,Spring,Weekend,No,Standard,Low,87.01
171.43,Summer,Weekday,No,Standard,High,229.54
198.79,Summer,Weekday,No,Standard,Medium,235.8
214.41,Autumn,Weekday,No,Standard,Low,205.18
164.25,Autumn,Weekday,No,Suite,Medium,243.74
97.62,Summer,Weekday,No,Standard,Medium,120.48
85.85,Winter,Weekday,No,Standard,Medium,110.49
191.93,Autumn,Weekend,No,Standard,Medium,234.27
156.81,Spring,Weekday,No,Standard,High,194.52
162.74,Spring,Weekend,No,Standard,High,219.03
187.22,Spring,Weekend,No,Standard,Medium,227.6
175.49,Spring,Weekday,Yes,Suite,Low,259.17
195.17,Spring,Weekend,No,Standard,High,262.77
78.43,Spring,Weekday,No,Standard,Medium,79.95
182.13,Summer,Weekend,No,Standard,Medium,244.29
197.63,Spring,Weekday,No,Standard,Medium,215.58
112.92,Winter,Weekend,No,Standard,High,174.26
166.07,Spring,Weekend,No,Standard,Medium,195.88
117.12,Summer,Weekend,Yes,Standard,Low,168.68
213.7,Summer,Weekend,No,Standard,Medium,282.37
75.01,Winter,Weekday,No,Standard,High,111.12
156.97,Spring,Weekday,No,Standard,Low,143.59
94.98,Summer,Weekday,Yes,Standard,High,158.34
176.83,Winter,Weekday,Yes,Suite,Medium,330.33
96.38,Winter,Weekday,No,Standard,Medium,121.27
105.31,Winter,Weekday,No,Suite,Low,151.75
144.16,Summer,Weekend,No,Standard,Low,175.06
207.23,Spring,Weekday,Yes,Suite,High,374.32
101.76,Autumn,Weekend,No,Standard,Low,113.5
91.64,Winter,Weekday,No,Standard,High,128.6
183.85,Autumn,Weekend,Yes,Standard,Medium,267.87
145.09,Autumn,Weekend,Yes,Suite,Low,242.92
206.77,Summer,Weekday,No,Standard,Low,216.53
91.99,Winter,Weekday,No,Standard,Medium,117.88
166.89,Spring,Weekend,No,Standard,High,218.87
104.93,Summer,Weekday,No,Suite,Medium,169.49
93.51,Summer,Weekday,No,Standard,Medium,114.65
172.51,Summer,Weekday,Yes,Suite,Medium,314.98
159.05,Spring,Weekday,No,Standard,Medium,174.4
183.22,Spring,Weekday,No,Standard,Medium,201.73
116.42,Autumn,Weekday,No,Standard,High,147.77
137.2,Summer,Weekday,No,Suite,Medium,213.69
130.82,Autumn,Weekday,No,Standard,Medium,140.73
217.61,Spring,Weekend,No,Suite,Low,299.73
113.84,Summer,Weekday,No,Standard,High,153.49
114.22,Summer,Weekend,No,Standard,Low,136.35
123.18,Spring,Weekday,No,Standard,Low,111.95
154.69,Summer,Weekday,Yes,Standard,Medium,231.69
107.85,Spring,Weekday,Yes,Suite,Medium,178.74
207.29,Spring,Weekday,No,Suite,Medium,296.2
109.85,Winter,Weekday,No,Suite,Medium,183.79
204.37,Summer,Weekday,Yes,Standard,High,332.45
85.52,Winter,Weekday,No,Standard,Low,95.54
168.48,Summer,Weekday,Yes,Standard,High,270.53
206.05,Autumn,Weekday,No,Suite,Medium,302.42
95.31,Winter,Weekday,No,Standard,Medium,118.59
215.25,Autumn,Weekday,No,Standard,Medium,241.07
137.93,Summer,Weekend,No,Standard,Low,167.16
211.86,Summer,Weekday,No,Standard,High,289.36
171.52,Summer,Weekday,Yes,Suite,Medium,308.48
115.24,Winter,Weekend,No,Standard,Medium,168.41
98.25,Winter,Weekday,No,Standard,Medium,127.04
115.56,Winter,Weekday,No,Standard,High,158.47
83.95,Spring,Weekend,No,Standard,Medium,98.97
91.58,Autumn,Weekday,Yes,Standard,High,139.65
85.7,Winter,Weekday,No,Standard,Medium,116.51
133.44,Spring,Weekday,No,Suite,Low,165.04
189.34,Spring,Weekday,No,Suite,Low,244.37
91.21,Autumn,Weekday,No,Standard,Medium,108.67
89.55,Autumn,Weekday,No,Standard,Low,84.35
166.51,Winter,Weekday,No,Suite,Low,243.66
99.58,Spring,Weekday,Yes,Standard,High,142.24
84.64,Winter,Weekend,No,Standard,High,129.53
95.03,Spring,Weekend,No,Standard,Medium,113.89
208.56,Spring,Weekday,No,Standard,Low,194.51
193.22,Spring,Weekday,No,Standard,Low,182.12
123.11,Winter,Weekday,No,Suite,Low,177.98
168.37,Autumn,Weekday,Yes,Standard,Medium,224.48
150.59,Summer,Weekday,No,Standard,High,206.22
171.57,Summer,Weekday,No,Standard,Medium,212.21
172.4,Winter,Weekend,No,Standard,Low,214.77
164.31,Summer,Weekday,No,Standard,Medium,200.79
109.92,Winter,Weekday,No,Suite,Medium,179.67
75.85,Summer,Weekday,No,Suite,Medium,125.9
138.34,Summer,Weekday,Yes,Standard,Medium,206.27
203.65,Summer,Weekend,No,Suite,Medium,344.71
155.42,Summer,Weekend,No,Suite,Low,237.35
194.86,Autumn,Weekend,Yes,Suite,Low,328.63
218.74,Summer,Weekday,Yes,Standard,High,360.91
94.54,Spring,Weekday,No,Standard,Low,86.24
173.77,Winter,Weekday,No,Standard,Low,194.54
171.14,Summer,Weekday,No,Standard,Low,181.19
216.99,Summer,Weekday,Yes,Standard,Low,290.82
217.84,Winter,Weekend,No,Standard,Medium,312.82
173.0,Autumn,Weekday,No,Suite,High,282.06
106.54,Spring,Weekday,No,Suite,Medium,152.68
189.78,Winter,Weekday,No,Suite,Medium,309.49
86.05,Autumn,Weekday,No,Standard,Medium,87.7
187.1,Summer,Weekday,No,Standard,Medium,233.11
206.53,Spring,Weekend,No,Standard,High,277.29
127.43,Winter,Weekend,No,Standard,High,197.96
164.6,Autumn,Weekend,No,Standard,Low,176.57
134.52,Summer,Weekday,No,Standard,High,182.75
135.66,Winter,Weekday,No,Standard,Medium,172.0
116.56,Winter,Weekday,Yes,Suite,High,239.54
184.32,Spring,Weekday,Yes,Standard,Medium,243.63
210.43,Summer,Weekend,Yes,Standard,High,374.48
211.11,Spring,Weekday,No,Standard,High,259.28
96.22,Autumn,Weekday,No,Standard,Low,88.23
201.21,Spring,Weekday,Yes,Standard,Medium,267.1
180.61,Autumn,Weekday,No,Standard,High,226.77
107.93,Winter,Weekend,No,Standard,High,157.43
80.09,Winter,Weekday,No,Standard,Low,96.1
110.2,Summer,Weekday,No,Standard,Medium,138.36
206.83,Winter,Weekday,No,Standard,Medium,266.88
164.98,Spring,Weekday,Yes,Standard,Low,193.69
178.16,Winter,Weekend,No,Suite,Medium,306.25
108.57,Spring,Weekend,No,Standard,Low,110.98
177.91,Summer,Weekend,No,Standard,High,268.45
74.22,Winter,Weekend,No,Standard,Medium,99.7
126.3,Spring,Weekday,No,Suite,High,188.16
164.01,Spring,Weekday,Yes,Suite,Low,248.39
91.91,Autumn,Weekday,Yes,Standard,Medium,126.27
193.45,Autumn,Weekday,No,Standard,Low,188.19
105.25,Autumn,Weekend,No,Suite,Low,154.47
167.84,Autumn,Weekday,Yes,Standard,Low,207.32
130.78,Summer,Weekend,No,Standard,Low,156.66
159.41,Summer,Weekday,No,Standard,Medium,200.86
86.12,Summer,Weekday,No,Suite,Low,116.21
72.54,Spring,Weekday,No,Suite,Medium,105.75
206.43,Winter,Weekend,No,Standard,Medium,291.51
110.44,Autumn,Weekday,No,Standard,High,135.3
192.95,Summer,Weekday,Yes,Standard,High,306.57
219.9,Summer,Weekday,No,Standard,Medium,267.49
101.71,Winter,Weekday,No,Suite,Medium,163.14
109.78,Spring,Weekday,No,Standard,Low,104.01
169.43,Autumn,Weekend,No,Standard,High,233.05
214.82,Summer,Weekday,No,Standard,Low,226.43
207.37,Autumn,Weekday,No,Standard,Low,198.7
145.43,Spring,Weekday,No,Standard,Low,138.27
189.27,Winter,Weekday,No,Standard,Medium,242.32
90.36,Winter,Weekend,Yes,Standard,Low,133.92
216.62,Autumn,Weekday,No,Standard,High,274.67
214.65,Autumn,Weekday,No,Standard,Low,213.38
94.56,Winter,Weekday,Yes,Standard,Medium,141.68
114.91,Autumn,Weekend,No,Standard,Low,130.51
85.02,Spring,Weekend,No,Suite,Low,119.02
110.76,Autumn,Weekday,No,Suite,High,178.79
192.39,Autumn,Weekday,No,Suite,Low,263.96
126.75,Summer,Weekday,No,Standard,High,169.42
83.26,Autumn,Weekend,No,Suite,Medium,131.8
121.33,Winter,Weekday,No,Standard,Low,130.96
217.21,Winter,Weekday,Yes,Standard,High,366.55
164.45,Summer,Weekday,No,Standard,Low,182.72
132.42,Spring,Weekday,No,Standard,High,168.23
94.98,Winter,Weekday,No,Standard,Low,111.27
217.93,Winter,Weekend,No,Standard,High,334.82
193.13,Spring,Weekday,No,Standard,Low,176.22
112.22,Winter,Weekday,Yes,Standard,Medium,165.01
80.51,Winter,Weekday,No,Standard,High,122.47
78.49,Summer,Weekend,No,Standard,High,118.83
88.06,Autumn,Weekday,No,Standard,High,109.87
157.12,Summer,Weekend,Yes,Suite,High,333.69
209.31,Spring,Weekday,Yes,Suite,High,377.05
144.51,Summer,Weekday,No,Standard,Low,156.25
196.44,Winter,Weekday,No,Standard,Low,219.32
136.88,Spring,Weekday,No,Standard,Low,128.48
176.29,Summer,Weekday,No,Suite,Medium,278.28
179.78,Summer,Weekend,No,Standard,Medium,236.9
96.09,Summer,Weekday,No,Standard,Medium,118.49
124.18,Winter,Weekday,No,Standard,Low,143.28
165.6,Summer,Weekday,No,Standard,Medium,203.57
80.6,Summer,Weekend,Yes,Standard,Low,119.16
124.23,Autumn,Weekend,No,Suite,Medium,194.59
150.22,Summer,Weekday,Yes,Standard,Medium,222.22
219.43,Spring,Weekend,No,Standard,High,291.54
141.18,Summer,Weekday,No,Suite,Medium,226.05
192.41,Spring,Weekday,Yes,Suite,Medium,323.37
134.81,Spring,Weekend,No,Standard,Low,142.96
189.46,Summer,Weekend,No,Standard,Medium,260.12
159.31,Summer,Weekday,No,Standard,Low,173.23
202.99,Winter,Weekday,No,Suite,Medium,331.97
131.64,Summer,Weekday,Yes,Standard,Medium,190.83
160.65,Autumn,Weekend,No,Suite,Low,231.32
164.5,Autumn,Weekday,No,Standard,Low,157.43
132.61,Spring,Weekday,No,Standard,High,160.41
91.65,Autumn,Weekday,No,Standard,High,114.9
84.03,Spring,Weekday,No,Standard,Medium,86.83
72.5,Winter,Weekday,No,Standard,Low,73.37
201.03,Spring,Weekend,No,Standard,Low,206.4
105.47,Summer,Weekday,No,Standard,Medium,130.5
101.73,Spring,Weekday,No,Suite,High,154.32
180.41,Winter,Weekday,No,Standard,Low,202.12
118.0,Summer,Weekend,No,Standard,High,183.42
145.91,Autumn,Weekday,No,Standard,Low,145.62
94.38,Spring,Weekday,No,Standard,High,121.72
213.96,Autumn,Weekend,No,Standard,Medium,269.01
197.74,Spring,Weekend,Yes,Standard,High,319.08
199.57,Winter,Weekend,No,Suite,Medium,346.35
131.02,Spring,Weekend,Yes,Standard,Medium,187.4
184.35,Spring,Weekday,No,Standard,Low,158.65
91.58,Spring,Weekend,No,Standard,Low,99.99
71.29,Summer,Weekday,Yes,Standard,High,121.65
73.0,Autumn,Weekend,Yes,Standard,High,117.51
157.99,Spring,Weekend,Yes,Suite,High,305.48
138.31,Winter,Weekend,No,Suite,Medium,239.03
147.7,Summer,Weekday,No,Standard,High,203.88
71.12,Summer,Weekday,No,Standard,Low,80.6
133.4,Summer,Weekday,No,Standard,Medium,157.11
177.71,Summer,Weekend,No,Standard,Medium,241.55
136.4,Autumn,Weekend,No,Standard,Medium,169.39
179.83,Spring,Weekday,No,Standard,Medium,194.67
104.95,Spring,Weekday,No,Standard,Low,98.39
191.97,Winter,Weekday,No,Standard,Medium,244.97
158.26,Winter,Weekend,No,Standard,High,243.31
101.61,Summer,Weekend,No,Standard,Medium,136.32
105.51,Summer,Weekday,No,Standard,Low,116.78
164.2,Autumn,Weekday,No,Standard,Low,160.95
194.49,Summer,Weekend,No,Suite,Low,300.4
132.34,Spring,Weekend,No,Standard,Low,132.55
108.75,Spring,Weekday,No,Standard,Medium,115.94
200.05,Autumn,Weekday,No,Standard,Medium,229.65
170.39,Autumn,Weekday,No,Suite,Medium,252.33
137.21,Spring,Weekday,No,Standard,Medium,150.82
143.19,Spring,Weekday,Yes,Standard,High,217.56
100.64,Spring,Weekday,No,Standard,Low,96.74
164.02,Autumn,Weekend,No,Standard,Medium,205.4
123.81,Spring,Weekday,No,Suite,High,192.34
219.35,Spring,Weekend,Yes,Standard,Low,272.75
142.03,Winter,Weekday,Yes,Suite,Low,243.62
142.88,Spring,Weekday,No,Suite,High,223.02
154.88,Autumn,Weekday,No,Suite,Medium,230.78
207.51,Spring,Weekday,No,Standard,Medium,223.5
190.12,Spring,Weekend,No,Standard,Low,196.44
137.67,Spring,Weekend,No,Standard,Medium,158.09
177.8,Autumn,Weekday,No,Suite,Medium,259.38
157.94,Winter,Weekday,No,Standard,Low,178.8
143.86,Winter,Weekend,No,Standard,Medium,208.27
98.85,Summer,Weekday,No,Standard,Low,105.38
139.59,Autumn,Weekday,Yes,Standard,Medium,193.95
106.87,Spring,Weekend,No,Suite,Low,152.36
207.23,Summer,Weekday,No,Standard,Low,218.49
120.31,Winter,Weekday,No,Suite,Low,178.32
212.84,Spring,Weekday,No,Standard,Low,192.85
149.96,Spring,Weekend,Yes,Suite,High,294.38
164.73,Spring,Weekday,Yes,Standard,Low,193.34
151.44,Spring,Weekday,No,Standard,Medium,164.75
89.41,Spring,Weekend,Yes,Suite,Low,143.5
126.37,Autumn,Weekday,No,Standard,Medium,145.63
84.87,Summer,Weekend,No,Suite,High,164.5
163.44,Winter,Weekday,Yes,Standard,Low,219.88
137.03,Winter,Weekend,No,Standard,High,209.67
186.7,Summer,Weekday,No,Standard,Low,200.7
103.07,Summer,Weekday,No,Standard,Medium,129.92
94.68,Summer,Weekday,No,Standard,Medium,114.22
130.95,Autumn,Weekday,No,Standard,High,154.97
208.99,Summer,Weekend,Yes,Standard,Medium,339.82
176.56,Autumn,Weekend,No,Standard,Medium,223.74
132.84,Summer,Weekday,No,Suite,Low,181.66
147.59,Autumn,Weekday,No,Suite,Low,192.39
82.63,Summer,Weekend,No,Standard,High,129.39
217.69,Summer,Weekend,No,Standard,Medium,299.67
169.96,Winter,Weekday,No,Standard,Medium,221.3
112.81,Winter,Weekday,No,Standard,High,159.49
157.87,Spring,Weekday,No,Suite,Medium,226.09
86.42,Winter,Weekday,No,Suite,High,152.44
214.88,Summer,Weekday,No,Standard,Medium,268.82
96.22,Winter,Weekday,No,Suite,Medium,153.34
167.2,Winter,Weekday,Yes,Standard,High,276.0
106.82,Summer,Weekend,No,Suite,Low,168.54
177.63,Spring,Weekday,No,Standard,Low,163.24
186.52,Summer,Weekday,No,Standard,Medium,234.93
171.01,Summer,Weekday,No,Standard,Low,180.29
162.17,Autumn,Weekday,No,Standard,Medium,183.03
203.87,Summer,Weekday,No,Standard,High,275.61
81.79,Spring,Weekday,No,Suite,Medium,116.99
119.64,Winter,Weekday,No,Standard,Medium,147.23
107.24,Winter,Weekday,Yes,Standard,High,177.14
218.2,Summer,Weekday,No,Standard,Medium,262.64
128.41,Spring,Weekday,No,Standard,Medium,141.46
179.89,Summer,Weekend,Yes,Standard,Medium,290.69
172.71,Spring,Weekday,No,Standard,High,203.79
101.81,Winter,Weekend,No,Standard,Medium,147.87
105.85,Spring,Weekday,No,Standard,High,139.13
112.19,Autumn,Weekday,Yes,Standard,High,170.71
131.67,Summer,Weekday,No,Suite,Medium,205.47
105.15,Autumn,Weekday,No,Suite,Medium,166.92
72.95,Autumn,Weekend,No,Standard,High,96.12
201.91,Winter,Weekend,No,Standard,Medium,282.75
214.84,Spring,Weekend,No,Standard,High,288.6
121.24,Spring,Weekday,Yes,Standard,High,183.6
120.78,Spring,Weekday,No,Standard,Medium,131.88
71.06,Winter,Weekday,No,Standard,Medium,88.96
172.04,Winter,Weekday,No,Standard,High,240.49
193.82,Autumn,Weekday,No,Standard,High,244.78
91.99,Autumn,Weekday,No,Standard,Medium,99.92
93.95,Autumn,Weekday,No,Suite,Low,124.21
188.51,Spring,Weekday,No,Suite,Medium,267.31
162.44,Winter,Weekend,No,Standard,Medium,221.44
76.73,Summer,Weekend,No,Standard,Medium,108.61
163.38,Summer,Weekend,No,Suite,Medium,275.76
116.34,Summer,Weekday,No,Suite,Medium,178.74
125.31,Spring,Weekday,No,Standard,Medium,134.66
185.46,Spring,Weekday,No,Standard,Low,170.9
191.64,Autumn,Weekend,No,Standard,Medium,232.56
130.05,Spring,Weekday,Yes,Standard,Medium,174.29
212.07,Autumn,Weekday,No,Standard,Low,201.52
130.97,Spring,Weekend,No,Standard,Low,143.05
185.78,Summer,Weekday,No,Standard,Medium,230.61
142.58,Summer,Weekday,No,Standard,Medium,173.77
204.63,Summer,Weekday,No,Suite,Low,287.59
206.16,Autumn,Weekday,No,Standard,High,261.4
83.11,Summer,Weekday,No,Standard,Medium,104.68
210.47,Autumn,Weekday,No,Standard,High,267.19
193.83,Summer,Weekday,No,Standard,Medium,237.54
188.7,Autumn,Weekday,No,Suite,Medium,279.51
100.14,Winter,Weekend,Yes,Standard,High,176.84
190.77,Autumn,Weekday,No,Standard,Medium,214.2
197.52,Spring,Weekday,No,Standard,Medium,204.98
113.37,Spring,Weekday,No,Standard,Low,108.2
212.84,Summer,Weekend,Yes,Suite,Medium,416.23
77.48,Autumn,Weekday,No,Standard,Low,72.06
92.49,Spring,Weekday,Yes,Standard,Low,115.81
150.64,Summer,Weekend,No,Standard,Low,179.61
156.37,Autumn,Weekend,No,Standard,Low,166.3
166.77,Summer,Weekday,No,Suite,High,290.27
72.55,Winter,Weekend,No,Suite,Low,116.95
214.06,Spring,Weekday,No,Standard,Medium,232.76
76.69,Spring,Weekday,No,Standard,High,91.86
91.46,Autumn,Weekday,No,Suite,Medium,137.16
72.1,Summer,Weekday,No,Suite,Low,101.33
155.03,Autumn,Weekend,Yes,Standard,Medium,234.77
209.84,Summer,Weekday,No,Standard,Medium,250.48
169.89,Spring,Weekday,No,Standard,Medium,181.75
193.4,Winter,Weekend,No,Suite,High,372.41
71.99,Winter,Weekend,Yes,Standard,High,125.79
151.3,Autumn,Weekday,No,Standard,Medium,168.55
138.93,Summer,Weekday,No,Suite,Medium,217.72
144.85,Autumn,Weekday,No,Standard,Medium,158.82
80.83,Summer,Weekend,Yes,Standard,Low,107.56
172.67,Spring,Weekday,No,Standard,High,209.74
145.48,Winter,Weekend,Yes,Standard,Low,217.31
184.77,Spring,Weekday,No,Standard,Medium,199.34
142.79,Winter,Weekday,No,Standard,High,202.18
92.41,Summer,Weekday,No,Standard,Medium,113.84
